eventid,Number Of Hostages Killed,Number Of Hostages Killed (US),Hours of Kidnapping,Days of Kidnapping,Country That Kidnappers Diverted To,Country of Kidnapping Resolution,Ransom Demanded?,Ransom Amount,Ransom Amount (US),Ransom Paid,Ransom Paid (US),Kidnapping Outcome,Number Released/Escaped/Rescued
197407230001,1.0,0.0,0.0,135.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197408060001,1.0,0.0,0.0,62.0,Unknown,Argentina,1.0,1500000.0,,0.0,,Successful Rescue,1.0
197409130003,11.0,0.0,0.0,5.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197409190001,2.0,0.0,,,Unknown,Argentina,1.0,61000000.0,,41000000.0,,Hostage(s) released by perpetrators,2.0
197409270001,8.0,1.0,0.0,13.0,Unknown,Dominican Republic,1.0,1000000.0,,0.0,,Hostage(s) released by perpetrators,8.0
197409270002,7.0,0.0,0.0,13.0,Unknown,Unknown,1.0,1000000.0,,0.0,,Unknown,
197409300002,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197411100001,1.0,0.0,,,Unknown,East Germany (GDR),0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197411140001,1.0,1.0,,,Unknown,Mexico,0.0,,,,,Unknown,
197411180003,4.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Hostage(s) killed (not during rescue attempt),4.0
197411220004,35.0,0.0,,,Tunisia,Tunisia,0.0,,,,,Hostage(s) released by perpetrators,
197411300002,2.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197412180001,1.0,0.0,0.0,4.0,Unknown,Italy,1.0,1500000.0,,1500000.0,,Hostage(s) released by perpetrators,1.0
197412270002,13.0,0.0,0.0,3.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197501190001,10.0,0.0,18.0,0.0,Unknown,Unknown,0.0,,,,,Unknown,
197502260001,1.0,1.0,,,Unknown,Argentina,1.0,0.0,,,,Hostage(s) killed (not during rescue attempt),1.0
197502270001,1.0,0.0,0.0,7.0,Unknown,West Germany (FRG),1.0,40000.0,,40000.0,,Hostage(s) released by perpetrators,1.0
197503010002,-99.0,0.0,,,Iran,Iran,1.0,5000000.0,,,,Unknown,
197503050002,10.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197503250001,1.0,0.0,0.0,5.0,Unknown,Somalia,1.0,100000.0,,100000.0,,Hostage(s) released by perpetrators,1.0
197504240001,-99.0,0.0,0.0,2.0,Unknown,Unknown,1.0,500000.0,,0.0,,Unknown,
197505000001,1.0,0.0,,,Unknown,Venezuela,1.0,0.0,,,,Unknown,
197505060002,1.0,0.0,,,Unknown,Italy,0.0,,,,,Hostage(s) released by perpetrators,
197505190001,4.0,3.0,,,Unknown,Tanzania,1.0,500000.0,,,,Hostage(s) released by perpetrators,4.0
197505310005,-99.0,0.0,,,Unknown,Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197506290001,1.0,1.0,0.0,26.0,Unknown,Lebanon,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197507140002,2.0,2.0,0.0,290.0,Unknown,Ethiopia,0.0,,,,,Hostage(s) released by perpetrators,2.0
197507190002,1.0,1.0,0.0,2.0,Unknown,Mexico,1.0,80000.0,,80000.0,,Hostage(s) released by perpetrators,1.0
197507250001,1.0,0.0,,,Unknown,Philippines,1.0,13300.0,,13300.0,,Unknown,
197507310002,1.0,0.0,0.0,30.0,Unknown,Argentina,0.0,,,,,Successful Rescue,1.0
197508040002,53.0,6.0,,4.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197508050001,1.0,1.0,0.0,89.0,Unknown,Colombia,0.0,,,,,Hostage(s) released by perpetrators,1.0
197508060001,-99.0,0.0,,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197508080004,-99.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197508130004,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197508150003,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197508200003,1.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197508240001,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197508260001,1.0,0.0,0.0,1.0,Unknown,Philippines,1.0,27000.0,,27000.0,,Hostage(s) released by perpetrators,1.0
197509120001,2.0,1.0,0.0,117.0,Unknown,Ethiopia,1.0,0.0,,,,Hostage(s) released by perpetrators,2.0
197509150003,3.0,0.0,0.0,1.0,Unknown,Unknown,0.0,,,,,Unknown,
197510030001,1.0,0.0,0.0,35.0,Unknown,Ireland,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197510080004,14.0,0.0,0.0,2.0,Unknown,Unknown,0.0,,,,,Unknown,
197510220002,2.0,2.0,,,Unknown,Lebanon,1.0,0.0,,,,Hostage(s) released by perpetrators,2.0
197510230003,1.0,0.0,0.0,191.0,Unknown,Ethiopia,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197510240002,1.0,0.0,0.0,61.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197510250001,3.0,0.0,0.0,1.0,Unknown,Lebanon,0.0,,,,,Hostage(s) released by perpetrators,3.0
197510290001,1.0,1.0,0.0,3.0,Unknown,Lebanon,0.0,,,,,Hostage(s) released by perpetrators,1.0
197510310006,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197511000001,-99.0,0.0,1.0,0.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197511020001,-99.0,0.0,1.0,0.0,Unknown,Unknown,0.0,,,,,Unknown,
197511070001,6.0,0.0,0.0,29.0,Unknown,Philippines,0.0,,,,,Hostage(s) released by perpetrators,6.0
197512020001,26.0,0.0,,12.0,Unknown,Unknown,1.0,0.0,,,,Combination,23.0
